Image,Group,w,WPSNR,Attack Parameters
iquartz_paperino.bmp,iquartz,0,42.2753,blur_high
iquartz_paperino.bmp,iquartz,1,9999999,blur_low
iquartz_paperino.bmp,iquartz,1,53.8997,blur_mid
iquartz_paperino.bmp,iquartz,0,38.9741,jpeg_10
iquartz_paperino.bmp,iquartz,1,43.6916,jpeg_20
iquartz_paperino.bmp,iquartz,1,46.7666,jpeg_30
iquartz_paperino.bmp,iquartz,1,49.1706,jpeg_40
iquartz_paperino.bmp,iquartz,1,50.8546,jpeg_50
iquartz_paperino.bmp,iquartz,1,52.4238,jpeg_60
iquartz_paperino.bmp,iquartz,1,54.6241,jpeg_70
iquartz_paperino.bmp,iquartz,1,57.6255,jpeg_80
iquartz_paperino.bmp,iquartz,1,62.9595,jpeg_90
iquartz_paperino.bmp,iquartz,1,67.4494,jpeg_95
iquartz_paperino.bmp,iquartz,1,49.8749,median_high
iquartz_paperino.bmp,iquartz,0,37.2257,median_low
iquartz_paperino.bmp,iquartz,0,43.4277,median_mid
iquartz_paperino.bmp,iquartz,0,46.6415,resize_high
iquartz_paperino.bmp,iquartz,0,62.2483,resize_low
iquartz_paperino.bmp,iquartz,0,55.6854,resize_mid
iquartz_paperino.bmp,iquartz,1,81.4001,sharpening_high
iquartz_paperino.bmp,iquartz,1,44.6956,sharpening_mid
iquartz_pippo.bmp,iquartz,0,37.7172,blur_high
iquartz_pippo.bmp,iquartz,1,9999999,blur_low
iquartz_pippo.bmp,iquartz,1,49.3074,blur_mid
iquartz_pippo.bmp,iquartz,0,38.1871,jpeg_10
iquartz_pippo.bmp,iquartz,1,43.2075,jpeg_20
iquartz_pippo.bmp,iquartz,1,46.4174,jpeg_30
iquartz_pippo.bmp,iquartz,1,48.8073,jpeg_40
iquartz_pippo.bmp,iquartz,1,50.6729,jpeg_50
iquartz_pippo.bmp,iquartz,1,52.4081,jpeg_60
iquartz_pippo.bmp,iquartz,1,54.5735,jpeg_70
iquartz_pippo.bmp,iquartz,1,57.7632,jpeg_80
iquartz_pippo.bmp,iquartz,1,62.9273,jpeg_90
iquartz_pippo.bmp,iquartz,1,67.3686,jpeg_95
iquartz_pippo.bmp,iquartz,1,43.7656,median_high
iquartz_pippo.bmp,iquartz,0,32.6312,median_low
iquartz_pippo.bmp,iquartz,0,39.5271,median_mid
iquartz_pippo.bmp,iquartz,0,41.7482,resize_high
iquartz_pippo.bmp,iquartz,0,57.9875,resize_low
iquartz_pippo.bmp,iquartz,0,52.0849,resize_mid
iquartz_pippo.bmp,iquartz,1,66.8852,sharpening_high
iquartz_pippo.bmp,iquartz,1,40.6997,sharpening_mid
iquartz_pluto.bmp,iquartz,0,36.8002,blur_high
iquartz_pluto.bmp,iquartz,1,9999999,blur_low
iquartz_pluto.bmp,iquartz,1,48.3693,blur_mid
iquartz_pluto.bmp,iquartz,0,39.187,jpeg_10
iquartz_pluto.bmp,iquartz,1,43.4939,jpeg_20
iquartz_pluto.bmp,iquartz,1,46.6319,jpeg_30
iquartz_pluto.bmp,iquartz,1,49.0505,jpeg_40
iquartz_pluto.bmp,iquartz,1,50.6561,jpeg_50
iquartz_pluto.bmp,iquartz,1,52.1927,jpeg_60
iquartz_pluto.bmp,iquartz,1,54.483,jpeg_70
iquartz_pluto.bmp,iquartz,1,57.6191,jpeg_80
iquartz_pluto.bmp,iquartz,1,63.1307,jpeg_90
iquartz_pluto.bmp,iquartz,1,67.7573,jpeg_95
iquartz_pluto.bmp,iquartz,1,39.0751,median_high
iquartz_pluto.bmp,iquartz,0,28.5619,median_low
iquartz_pluto.bmp,iquartz,0,35.279,median_mid
iquartz_pluto.bmp,iquartz,0,40.5451,resize_high
iquartz_pluto.bmp,iquartz,0,55.9266,resize_low
iquartz_pluto.bmp,iquartz,0,50.5403,resize_mid
iquartz_pluto.bmp,iquartz,1,55.0506,sharpening_high
iquartz_pluto.bmp,iquartz,1,40.1734,sharpening_mid
